series,episode,baker,signature_bake,technical,result,show_stopper,baker_last_name,baker_age,baker_occupation,hometown
4,10,Kimberley,Chicken and Pig Pie,1,Runner-up,Languages of Love Wedding Cake,Wilson,30,Psychologist,London
4,10,Ruby,Picnic Basket Pie,2,Runner-up,"Raspberry, Lemon and Passion Fruit Wedding Cake",Tandoh,20,History of Art and Philosophy Student,"Southend, Essex"
4,10,Frances,Rainbow Picnic Pie,3,WINNER,Midsummer Night's Dream Wedding Cake,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",3,IN,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,5,IN,Chocolate Ganache Surprises,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,1,Enwezor,Raspberry and Lemon Swiss Roll,9,IN,Coffee and Walnut Battenberg Squares,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire"
5,1,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4,IN,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",Watters,31,Construction Engineer,London/Belfast
5,1,Jordan,Kawaii Frasier Swiss Roll,12,IN,Lemon Drizzle Cakes with Blueberry and Lemon Curd,Cox,32,IT Manager,"Sneinton, Nottingham"
5,1,Kate,Red Velvet and White Chocolate Swiss Roll,6,IN,Mini Tiered Victoria Sponges,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,1,Luis,Spanish Swiss Roll,7,IN,Raspberry and Lemon Genoise Slices with Lemon Drizzles,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,1,Martha,Tiramisu Swiss Roll,2,IN,Mini Lemon and Thyme Drizzle Cakes,Collison,17,Student,"Ascot, Berkshire"
5,1,Norman,Black Forest Swiss Roll,11,IN,Almond and Raspberry Mini Cakes,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,1,Richard,Pistachio and Strawberry Swiss Roll,10,IN,Miniature Coffee & Walnut Cakes,Burr,38,Builder,"Mill Hill, London"
5,1,Claire,Chocolatey Orangey Swirly Roll,8,OUT,Mini Chocolate and Cherry Cakes,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford"
5,1,Nancy,Coffee and Hazelnut Swiss Roll,1,STAR BAKER,Jaffa Orange Cakes,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,2,Chetna,Fenugreek and Carom Crackers,8,IN,Day On The Beach,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,2,Diana,Parmesan Triangles,7,IN,"Express, First Class",Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,2,Iain,Za'atar and Fig Biscuits,11,IN,Wild West Scene,Watters,31,Construction Engineer,London/Belfast
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",6,IN,Monster Attack,Cox,32,IT Manager,"Sneinton, Nottingham"
5,2,Kate,Parmesan and Apple Biscuits,4,IN,Tea Time,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3,IN,George Versus The Dragon,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5,IN,Ski Village Scene,Collison,17,Student,"Ascot, Berkshire"
5,2,Nancy,Fennel and Rye Thins,2,IN,Hansel and Gretel Scene,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,2,Norman,Farthing Biscuits,10,IN,Zulu Boats at Dawn,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,9,OUT,Space Adventure Moon Scene,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire"
5,2,Richard,Rosemary Seeded Crackers,1,STAR BAKER,Pirates!,Burr,38,Builder,"Mill Hill, London"
5,3,Chetna,Onion and Pine Nut Rolls,8,IN,Rolled and Filled Twin Loaf,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,3,Diana,Rustic Picnic Rolls,7,IN,Sharing Savoury Pinwheel,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,9,IN,Moroccan Plaited with a Bessara Dip,Watters,31,Construction Engineer,London/Belfast
5,3,Kate,Orange and Cardamom Rye Bread Knots,1,IN,"Prosciutto, Olive and Coriander Bread",Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,3,Martha,Date and Walnut Rye Rolls,3,IN,Stuffed Sunflower Loaf,Collison,17,Student,"Ascot, Berkshire"
5,3,Nancy,Cider and Walnut Crusty Rolls,5,IN,'Full English' Stromboli,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,3,Norman,Rye Bread Rolls,4,IN,Chicken and Roasted Vegetable Picnic Loaf,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,3,Richard,Rye and Cranberry Rolls,6,IN,Pesto Pinwheel,Burr,38,Builder,"Mill Hill, London"
5,3,Jordan,Rye and Spelt Bread Rolls,10,OUT,Strawberry Raspberry Cheesecake Brioche,Cox,32,IT Manager,"Sneinton, Nottingham"
5,3,Luis,Opposites Attract Rolls,2,STAR BAKER,Roscón de Reyes,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings",3,IN,"Mango, Raspberry and Coconut Baked Alaska",Makan,35,Fashion Designer,"Broadstairs, Kent"
5,4,Diana,Orange and Lemon Curd Pots,9,IN,Raspberry Ripple Alaska Swan,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,7,IN,"Pistachio, Raspberry and Chocolate Baked Alaska",Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,4,Luis,Pears in Puddings,2,IN,Bakewell Alaska,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,4,Martha,Peanut Butter Chocolate Fondants,1,IN,Key Lime Baked Alaska,Collison,17,Student,"Ascot, Berkshire"
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,4,IN,Summer Pudding Alaska,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,4,Norman,Mini Sticky Toffee Puddings,8,IN,Baked Alaska with Strawberry Surprise,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,4,Iain,"Chocolate, Lime and Raspberry Fondants",6,OUT,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Watters,31,Construction Engineer,London/Belfast
5,4,Richard,Black Forest Chocolate Fondants,5,STAR BAKER,Tiramisu Baked Alaska,Burr,38,Builder,"Mill Hill, London"
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,2,IN,Fusion Tiered Pies,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,5,Luis,Tropical Manchester Tart,6,IN,Four Fruity Seasons Tower,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",1,IN,Three Little Pigs Pie,Collison,17,Student,"Ascot, Berkshire"
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,4,IN,Trio of Apple Pies,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,5,Richard,Fig and Orange Tart,7,IN,Three Course Autumn Pie Feast,Burr,38,Builder,"Mill Hill, London"
5,5,Norman,Tarte au Citron,5,OUT,Pieful Tower,Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,5,Kate,Rhubarb and Custard Tart,3,STAR BAKER,"Rhubarb, Prune and Apple Pies",Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,5,Diana,NA,NA,WD,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,6,Diana,NA,NA,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",6,IN,Trio of Dobos Tortes,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,6,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,3,IN,The Cage on the Rocky Hill,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,4,IN,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Collison,17,Student,"Ascot, Berkshire"
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1,IN,Chocolate and Caramel Dobos Torte,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,6,Richard,Fruity Guglhupf with an Orange Glaze,5,IN,Sugar Forest Dobos Torte,Burr,38,Builder,"Mill Hill, London"
5,6,Chetna,Orange Savarin with Cinnamon Cream,2,STAR BAKER,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,7,Chetna,Crispy Lentil Kachori,6,IN,Chocolate and Mango & Lemon Meringue Éclairs,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,7,Diana,NA,NA,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,7,Luis,Childhood Empanadas,5,IN,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,7,Martha,Mini Beef Wellingtons,3,IN,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Collison,17,Student,"Ascot, Berkshire"
5,7,Nancy,Spicy Duck Pasties,2,IN,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,7,Kate,Spinach and Paneer Spicy Samosa,4,OUT,Neapolitan & Lemon Meringue Éclairs,Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,7,Richard,Minted Lamb Pasties,1,STAR BAKER,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",Burr,38,Builder,"Mill Hill, London"
5,8,Chetna,Date and Walnut Swirl Bread,1,IN,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Makan,35,Fashion Designer,"Broadstairs, Kent"
5,8,Diana,NA,NA,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,8,Luis,Black Forest Cherry Tree,2,IN,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,8,Nancy,Lincolnshire Plum Braid,3,IN,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,8,Martha,Spiced Plum Iced Bread Swirl,5,OUT,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,Collison,17,Student,"Ascot, Berkshire"
5,8,Richard,Fruit Swedish Tea Ring,4,STAR BAKER,Rhubarb and Custard and Toffee Apple Doughnuts,Burr,38,Builder,"Mill Hill, London"
5,9,Diana,NA,NA,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,1,IN,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,3,IN,Raspberry NonnettesLime and Passion Fruit Entremets,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,9,Chetna,Chocolate Orange Baklava Masala Chai Baklava,4,OUT,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Makan,35,Fashion Designer,"Broadstairs, Kent"
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,2,STAR BAKER,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Burr,38,Builder,"Mill Hill, London"
5,10,Diana,NA,NA,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,Runner-up,Village in Chocolate,Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,10,Richard,Pear Pain au ChocolatPain Au Lait,3,Runner-up,Mill on the Hill,Burr,38,Builder,"Mill Hill, London"
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,1,WINNER,Red Windmill,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,2,IN,Black Forest Gâteau,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,1,Dorret,Madeira Cake with Candied Lemons,5,IN,Enchanted Forest Gâteau,Conway,53,Accountant,"Penwortham, Lancashire"
6,1,Flora,Blood Orange Madeira Cake,6,IN,Black Forest Gâteau,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,1,Ian,Somewhere West of Madeira Cake,8,IN,Black Forest Cherry Tree,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,1,Mat,Gin and Tonic Madeira Cake,7,IN,Black Forest Gateau,Riley,37,Fire fighter,London
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,12,IN,Quadruple Chocolate Black Forest Gâteau,Hussain,30,Full-time mother,Leeds / Luton
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",10,IN,Black Forest Chocolate Creation,Jagger,49,Prison governor,"Swansea, Wales"
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,9,IN,Black Forest Gâteau,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,1,Tamal,Pistachio and Rose Madeira Cake,4,IN,Black Forest Gâteau in a Chocolate Shell,Ray,29,Trainee anaesthetist,Manchester
6,1,Ugnė,Lemon and Thyme Madeira Cake,1,IN,Falling Cup Gâteau,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,1,Stu,Marley Madeira Cake,11,OUT,Purple Forest Gâteau,Henshall,35,Professional musician,"Guildford, Surrey"
6,1,Marie,Zingy Citrus Madeira Cake,3,STAR BAKER,A Walk in the Black Forest,Campbell,66,Retired,"Auchterarder, Perthshire"
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",6,IN,Gingerbread Box filled with Brandy Snaps,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,1,IN,Box of Frogs,Conway,53,Accountant,"Penwortham, Lancashire"
6,2,Flora,Wedding Biscotti,2,IN,Honey and Earl Grey Tea Box,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",5,IN,Gingerbread Fire Engine,Riley,37,Fire fighter,London
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",9,IN,Box of Fortunes,Hussain,30,Full-time mother,Leeds / Luton
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",10,IN,Memory Box,Jagger,49,Prison governor,"Swansea, Wales"
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,4,IN,Sundried Tomato Cheese Biscuit Box,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",8,IN,Chessboard Box,Ray,29,Trainee anaesthetist,Manchester
6,2,Ugnė,White Wine Biscotti,7,IN,Baby Climbing into the Cookie Box,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,2,Marie,Biscotti Italiano,11,OUT,Russian Box,Campbell,66,Retired,"Auchterarder, Perthshire"
6,2,Ian,"Orange, Rosemary and Almond Biscotti",3,STAR BAKER,Sandwich de la Confiture,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4,IN,Cornucopia,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,3,Flora,Fig and Hazelnut Rye Breads,2,IN,Herb Couture,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,IN,Curry Inspired Brighton Pavilion,Riley,37,Fire fighter,London
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,9,IN,Snake Charmer's Basket,Hussain,30,Full-time mother,Leeds / Luton
6,3,Paul,Cranberry and Orange Sweet Soda Breads,10,IN,King of the Jungle,Jagger,49,Prison governor,"Swansea, Wales"
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,7,IN,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,3,Tamal,"Fig, Cheese and Walnut Breads",3,IN,Breadcycle,Ray,29,Trainee anaesthetist,Manchester
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,5,IN,Easter Basket,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,3,Dorret,Walnut and Stilton Soda Breads,6,OUT,Unmade Bread,Conway,53,Accountant,"Penwortham, Lancashire"
6,3,Ian,Wild Garlic Pesto Soda Breads,1,STAR BAKER,Flour Power,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,4,Alvin,Blackberry Crème Brûlées,9,IN,Tower of Fruits Cheesecakes,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,4,Flora,Rhubarb and Ginger Crème Brûlées,3,IN,Elderflower and Granola Cheesecakes,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,4,Mat,Coconut Crème Brûlées,7,IN,Chocolate Bar Cheesecakes,Riley,37,Fire fighter,London
6,4,Nadiya,Cinnamon Tea Crème Brûlées,8,IN,Fizzy Pop Cheesecakes,Hussain,30,Full-time mother,Leeds / Luton
6,4,Paul,Almond Crème Brûlées,1,IN,Berry Cheesecake Tower,Jagger,49,Prison governor,"Swansea, Wales"
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,5,IN,"Mango, Hazelnut and Rosemary Cheesecake Trio",Ray,29,Trainee anaesthetist,Manchester
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,2,IN,"Lime, Coconut and Hazelnut Cheesecakes",Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,4,Sandy,Pontefract Crème Brûlées,6,OUT,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,4,Ian,Pomegranate Two Ways Crème Brûlées,4,STAR BAKER,Trio of Spicy and Herby Baked Cheesecakes,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,5,Alvin,Pineapple Upside Down Cake,8,IN,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Magallanes,37,Nurse,"Bracknell, Berkshire"
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",3,IN,Chocolate and Pear Bûche,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,5,Ian,Honey and Flowers Cake,5,IN,Dessert Island,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,5,Mat,Sugar Free Carrot Cake,4,IN,Raspberry and Coconut Ice Cream Roll,Riley,37,Fire fighter,London
6,5,Paul,Carrot & Pecan Cake,2,IN,Dessert Island Getaway,Jagger,49,Prison governor,"Swansea, Wales"
6,5,Tamal,Honey and Grapefruit Polenta Cake,7,IN,Passion Fruit and Pineapple Ice Cream Roll,Ray,29,Trainee anaesthetist,Manchester
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,6,OUT,"Chocolate, Peanut Butter and Grape Jam Roll",Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,5,Nadiya,Naked Blueberry and Caraway Crunch Cake,1,STAR BAKER,Chocolate and Strawberry Lime Ice Cream Roll,Hussain,30,Full-time mother,Leeds / Luton
6,6,Flora,Apricot and Rosemary Frangipane Tart,2,IN,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,6,Ian,Pear and Raspberry Frangipane Tart,3,IN,vol-au-vents Terre et Mer,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",4,IN,Bengali Korma and Clementine with Cod Vol-au-vents,Hussain,30,Full-time mother,Leeds / Luton
6,6,Paul,Christmas Frangipane Tart,5,IN,Savoury and Sweet Bouchées,Jagger,49,Prison governor,"Swansea, Wales"
6,6,Tamal,Spiced Pear Frangipane Tart,7,IN,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Ray,29,Trainee anaesthetist,Manchester
6,6,Alvin,Plum Frangipane Tart,6,OUT,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,Magallanes,37,Nurse,"Bracknell, Berkshire"
6,6,Mat,Piña Colada Frangipane Tart,1,STAR BAKER,His 'n' Hers Vol-au-vents,Riley,37,Fire fighter,London
